iso,uptime_s,rss_kb,anon_kb,file_kb,swap_kb,threads,host_avail_mb
2026-09-03T18:01:54Z,215976,660072,126832,533240,0,17,3762
2026-09-03T18:02:54Z,216036,662972,126832,536140,0,17,3763
2026-09-03T18:03:54Z,216096,649488,126832,522656,0,17,3789
2026-09-03T18:04:54Z,216156,652380,126832,525548,0,17,3805
2026-09-03T18:05:54Z,216216,655280,126832,528448,0,17,3802
2026-09-03T18:06:54Z,216276,658176,126832,531344,0,17,3785
2026-09-03T18:07:55Z,216337,661080,126832,534248,0,17,3783
2026-09-03T18:08:55Z,216397,663976,126832,537144,0,17,3754
2026-09-03T18:09:55Z,216457,666872,126832,540040,0,17,3768
2026-09-03T18:10:55Z,216517,653380,126832,526548,0,17,3780
2026-09-03T18:11:55Z,216577,656280,126832,529448,0,17,3762
2026-09-03T18:12:55Z,216637,659176,126832,532348,0,17,3756
2026-09-03T18:13:55Z,216697,662080,126832,535248,0,17,3793
2026-09-03T18:14:55Z,216757,648588,126832,521756,0,17,3807
2026-09-03T18:15:55Z,216817,651488,126832,524656,0,17,3812
2026-09-03T18:16:55Z,216877,654380,126832,527548,0,17,3808
2026-09-03T18:17:55Z,216937,657288,126832,530456,0,17,3790
2026-09-03T18:18:55Z,216997,660188,126832,533356,0,17,3775
2026-09-03T18:19:55Z,217057,663088,126832,536256,0,17,3787
2026-09-03T18:20:55Z,217117,665988,126832,539156,0,17,3789
2026-09-03T18:21:56Z,217178,652504,126832,525672,0,17,3773
2026-09-03T18:22:56Z,217238,655404,126832,528572,0,17,3788
2026-09-03T18:23:56Z,217298,658296,126832,531468,0,17,3796
2026-09-03T18:24:56Z,217358,661196,126832,534364,0,17,3824
2026-09-03T18:25:56Z,217418,664100,126832,537268,0,17,3760
2026-09-03T18:26:56Z,217478,650612,126832,523780,0,17,3739
2026-09-03T18:27:56Z,217538,653508,126832,526676,0,17,3729
2026-09-03T18:28:56Z,217598,656400,126832,529568,0,17,3742
2026-09-03T18:29:56Z,217658,659296,126832,532464,0,17,3731
2026-09-03T18:30:56Z,217718,662200,126832,535368,0,17,3750
2026-09-03T18:31:56Z,217778,665092,126832,538264,0,17,3787
2026-09-03T18:32:56Z,217838,651616,126832,524784,0,17,3801
2026-09-03T18:33:56Z,217898,654516,126832,527684,0,17,3775
2026-09-03T18:34:56Z,217958,657408,126832,530576,0,17,3818
2026-09-03T18:35:57Z,218019,660312,126832,533480,0,17,3815
2026-09-03T18:36:57Z,218079,646824,126832,519996,0,17,3826
2026-09-03T18:37:57Z,218139,649720,126832,522888,0,17,3799
2026-09-03T18:38:57Z,218199,652620,126832,525788,0,17,3786
2026-09-03T18:39:57Z,218259,655520,126832,528688,0,17,3783
2026-09-03T18:40:57Z,218319,658420,126832,531588,0,17,3810
2026-09-03T18:41:57Z,218379,661316,126832,534484,0,17,3793
2026-09-03T18:42:57Z,218439,664220,126832,537388,0,17,3793
2026-09-03T18:43:57Z,218499,650736,126832,523904,0,17,3786
2026-09-03T18:44:57Z,218559,653636,126832,526804,0,17,3833
2026-09-03T18:45:57Z,218619,656532,126832,529700,0,17,3828
2026-09-03T18:46:57Z,218679,659436,126832,532604,0,17,3805
2026-09-03T18:47:57Z,218739,662332,126832,535500,0,17,3783
2026-09-03T18:48:57Z,218799,648848,126832,522020,0,17,3779
2026-09-03T18:49:58Z,218860,651748,126832,524916,0,17,3777
2026-09-03T18:50:58Z,218920,654644,126832,527812,0,17,3834
2026-09-03T18:51:58Z,218980,657548,126832,530716,0,17,3803
2026-09-03T18:52:58Z,219040,660440,126832,533612,0,17,3785
2026-09-03T18:53:58Z,219100,663348,126832,536516,0,17,3790
2026-09-03T18:54:58Z,219160,666244,126832,539412,0,17,3794
2026-09-03T18:55:58Z,219220,652756,126832,525924,0,17,3827
2026-09-03T18:56:58Z,219280,655664,126832,528832,0,17,3808
2026-09-03T18:57:58Z,219340,658564,126832,531732,0,17,3788
2026-09-03T18:58:58Z,219400,661464,126832,534632,0,17,3795
2026-09-03T18:59:58Z,219460,647976,126832,521144,0,17,3759
2026-09-03T19:00:58Z,219520,650880,126832,524048,0,17,3782
2026-09-03T19:01:58Z,219580,653776,126832,526948,0,17,3776
2026-09-03T19:02:58Z,219640,656676,126832,529844,0,17,3783
2026-09-03T19:03:58Z,219700,659576,126832,532744,0,17,3767
2026-09-03T19:04:58Z,219761,662472,126832,535640,0,17,3823
2026-09-03T19:05:59Z,219821,665376,126832,538544,0,17,3795
2026-09-03T19:06:59Z,219881,651888,126832,525056,0,17,3780
2026-09-03T19:07:59Z,219941,654792,126832,527960,0,17,3755
2026-09-03T19:08:59Z,220001,657692,126832,530860,0,17,3769
2026-09-03T19:09:59Z,220061,660592,126832,533760,0,17,3755
2026-09-03T19:10:59Z,220121,647104,126832,520272,0,17,3812
2026-09-03T19:11:59Z,220181,650012,126832,523180,0,17,3772
2026-09-03T19:12:59Z,220241,652904,126832,526072,0,17,3760
2026-09-03T19:13:59Z,220301,655808,126832,528976,0,17,3778
2026-09-03T19:14:59Z,220361,658708,126832,531876,0,17,3828
2026-09-03T19:15:59Z,220421,661608,126832,534776,0,17,3821
2026-09-03T19:16:59Z,220481,664508,126832,537676,0,17,3814
